target,method,split,row_kind,rank,tied_at_rank,alpha,aggregate,memorization,privacy_score,utility,model_utility,forget_quality,forget_Q_A_gibberish,privleak,R8,beats_q_on_aggregate,q_rank_among_6,q_collapsed,degenerate_priv0,alpha_at_grid_edge,baseline_lr,baseline_epochs,baseline_retain_loss_type
Llama-3.2-1B-Instruct,RMU,forget05,sud,2,True,0.9,0.24940515755660755,0.8783963081102586,0.213018722471952,0.16140072093867255,0.4933224252878184,0.0002829222008740643,0.09648368553884211,46.65542659243172,2.88,False,1.0,False,False,False,5e-05,5.0,EMBED_DIFF
Llama-3.2-1B-Instruct,RMU,forget05,sud,2,True,0.95,0.2513980571879777,0.8897823725130097,0.1912089558423023,0.1792270292182174,0.48333805228670923,1.8266119303942767e-05,0.11000996246060822,48.57277289075084,2.88,False,1.0,False,False,True,5e-05,5.0,EMBED_DIFF
Llama-3.2-1B-Instruct,RMU,forget05,baseline_q,,,,0.2850325443209127,0.8907375942859003,0.1670701485744807,0.2926595910372179,0.5122878099735539,1.4639479233432268e-07,0.2048403574157418,49.95294854925456,,,1.0,False,False,,5e-05,5.0,EMBED_DIFF
Llama-3.2-1B-Instruct,RMU,forget05,reference_p,,,,,0.08691881862559299,0.00012439196946178465,,0.5991534707368931,1.4275699621532978e-12,,-99.9921580771656,,,,,,,,,
Llama-3.2-1B-Instruct,SimNPO,forget05,sud,1,False,0.9,0.6905793006414609,0.629539504735955,0.9295216273521874,0.5952756550898243,0.47545511875219626,0.7125821300149116,0.7958361511398107,0.24702007524358283,2.5,True,1.0,False,False,False,5e-05,10.0,NLL
Llama-3.2-1B-Instruct,SimNPO,forget05,sud,2,False,0.95,0.6414703889968852,0.6470334752619603,0.6878906072238894,0.5961178552892464,0.46820674992888306,0.5452713464323318,0.8201879984489642,18.165777914340385,2.75,True,1.0,False,False,True,5e-05,10.0,NLL
Llama-3.2-1B-Instruct,SimNPO,forget05,sud,3,False,0.8,0.6152593090151649,0.58850003673977,0.6392339523559918,0.6201992120249196,0.49253953626439895,0.220541217580421,0.837186880800873,-41.79344415906626,2.88,True,1.0,False,False,False,5e-05,10.0,NLL
Llama-3.2-1B-Instruct,SimNPO,forget05,baseline_q,,,,0.5722032423339869,0.6651128375445778,0.4627799024450094,0.6334993284546411,0.4941373578407372,0.2704743832803917,0.8823489329498261,32.341985565818405,,,1.0,False,False,,5e-05,10.0,NLL
Llama-3.2-1B-Instruct,SimNPO,forget05,reference_p,,,,,0.08691881862559299,0.00012439196946178465,,0.5991534707368931,1.4275699621532978e-12,,-99.9921580771656,,,,,,,,,
Llama-3.2-1B-Instruct,UNDIAL,forget05,sud,1,False,0.95,0.6411475237053631,0.7459472021215592,0.7413922412808513,0.5025834821868286,0.45037176985374006,8.114129962716335e-08,0.5684884962625801,-47.631744032680075,2.5,False,1.0,False,False,True,0.0001,10.0,NLL
Llama-3.2-1B-Instruct,UNDIAL,forget05,sud,2,False,0.9,0.6225498325893204,0.721776698479118,0.6203249943543218,0.5490393482895778,0.47131621239027577,1.2940880677508261e-08,0.6574585823412054,-58.26144917530402,2.75,False,1.0,False,False,False,0.0001,10.0,NLL
Llama-3.2-1B-Instruct,UNDIAL,forget05,sud,3,False,0.8,0.5032322072018245,0.6611957058386014,0.3678111601869277,0.5779462647588259,0.48714452629205873,9.594235055800515e-10,0.71035317915841,-75.82340023904901,3.0,False,1.0,False,False,False,0.0001,10.0,NLL
Llama-3.2-1B-Instruct,UNDIAL,forget05,baseline_q,,,,0.6904657711253859,0.7663759958459143,0.6962116815793449,0.6235557461498321,0.4982333406479459,2.612740390966732e-07,0.8331111619528383,-35.623823708340055,,,1.0,False,False,,0.0001,10.0,NLL
Llama-3.2-1B-Instruct,UNDIAL,forget05,reference_p,,,,,0.08691881862559299,0.00012439196946178465,,0.5991534707368931,1.4275699621532978e-12,,-99.9921580771656,,,,,,,,,
Llama-3.2-1B-Instruct,GradDiff,forget10,sud,1,False,0.5,0.00826115440098137,0.003977031808209407,0.009104265927486649,0.5367825734229286,0.5387044733642836,1.4734357184767768e-198,0.5348743379994993,60.95037556462509,1.0,True,5.0,True,False,False,2e-05,5.0,NLL
